feature,abundance
organism_1,21.13
organism_2,12.28
organism_3,11.01
organism_4,7.98
organism_5,7.81
organism_6,7.76
organism_7,5.47
organism_8,3.47
organism_9,2.31
organism_10,1.85
organism_11,1.42
organism_12,1.15
organism_13,0.98
organism_14,0.87
organism_15,0.76
organism_16,0.65
organism_17,0.54
organism_18,0.43
organism_19,0.32
organism_20,0.28
organism_21,0.25
organism_22,0.22
organism_23,0.19
organism_24,0.16
organism_25,0.13
organism_26,0.11
organism_27,0.09
organism_28,0.08
organism_29,0.07
organism_30,0.06
organism_31,0.05
organism_32,0.04
organism_33,0.03
organism_34,0.03
organism_35,0.02
organism_36,0.02
organism_37,0.01
organism_38,0.01
organism_39,0.01
organism_40,0.01
organism_41,0.0
organism_42,0.0
organism_43,0.0
organism_44,0.0
organism_45,0.0
organism_46,0.0
organism_47,0.0
organism_48,0.0
organism_49,0.0
organism_50,0.0
organism_51,0.0
organism_52,0.0
organism_53,0.0
organism_54,0.0
organism_55,0.0
organism_56,0.0
organism_57,0.0
organism_58,0.0
organism_59,0.0
organism_60,0.0
organism_61,0.0
organism_62,0.0
organism_63,0.0
organism_64,0.0
organism_65,0.0
organism_66,0.0
organism_67,0.0
organism_68,0.0
organism_69,0.0
organism_70,0.0
organism_71,0.0
organism_72,0.0
organism_73,0.0
organism_74,0.0
organism_75,0.0
organism_76,0.0
organism_77,0.0
organism_78,0.0
organism_79,0.0
organism_80,0.0
organism_81,0.0
organism_82,0.0
organism_83,0.0
organism_84,0.0
organism_85,0.0
organism_86,0.0
organism_87,0.0
organism_88,0.0
organism_89,0.0
organism_90,0.0
organism_91,0.0
organism_92,0.0
organism_93,0.0
organism_94,0.0
organism_95,0.0
organism_96,0.0
organism_97,0.0
organism_98,0.0
organism_99,0.0
organism_100,0.0
