feature,abundance
organism_1,5.36
organism_2,3.14
organism_3,2.22
organism_4,2.14
organism_5,1.77
organism_6,1.57
organism_7,1.55
organism_8,1.19
organism_9,1.18
organism_10,1.05
organism_11,0.98
organism_12,0.87
organism_13,0.76
organism_14,0.65
organism_15,0.58
organism_16,0.52
organism_17,0.47
organism_18,0.41
organism_19,0.36
organism_20,0.32
organism_21,0.28
organism_22,0.25
organism_23,0.22
organism_24,0.19
organism_25,0.17
organism_26,0.15
organism_27,0.13
organism_28,0.11
organism_29,0.09
organism_30,0.08
organism_31,0.07
organism_32,0.06
organism_33,0.05
organism_34,0.04
organism_35,0.04
organism_36,0.03
organism_37,0.03
organism_38,0.02
organism_39,0.02
organism_40,0.01
organism_41,0.01
organism_42,0.01
organism_43,0.01
organism_44,0.0
organism_45,0.0
organism_46,0.0
organism_47,0.0
organism_48,0.0
organism_49,0.0
organism_50,0.0
organism_51,2.85
organism_52,2.34
organism_53,1.98
organism_54,1.67
organism_55,1.43
organism_56,1.21
organism_57,1.05
organism_58,0.91
organism_59,0.78
organism_60,0.67
organism_61,0.58
organism_62,0.5
organism_63,0.43
organism_64,0.37
organism_65,0.32
organism_66,0.28
organism_67,0.24
organism_68,0.21
organism_69,0.18
organism_70,0.15
organism_71,0.13
organism_72,0.11
organism_73,0.09
organism_74,0.08
organism_75,0.07
organism_76,0.06
organism_77,0.05
organism_78,0.04
organism_79,0.03
organism_80,0.03
organism_81,0.02
organism_82,0.02
organism_83,0.01
organism_84,0.01
organism_85,0.01
organism_86,0.01
organism_87,0.0
organism_88,0.0
organism_89,0.0
organism_90,0.0
organism_91,0.0
organism_92,0.0
organism_93,0.0
organism_94,0.0
organism_95,0.0
organism_96,0.0
organism_97,0.0
organism_98,0.0
organism_99,0.0
organism_100,0.0
