feature,abundance
organism_1,22.17
organism_2,12.28
organism_3,6.37
organism_4,5.2
organism_5,4.12
organism_6,3.84
organism_7,3.28
organism_8,2.86
organism_9,1.96
organism_10,1.75
organism_11,1.54
organism_12,1.32
organism_13,1.18
organism_14,1.05
organism_15,0.94
organism_16,0.84
organism_17,0.75
organism_18,0.67
organism_19,0.59
organism_20,0.52
organism_21,0.46
organism_22,0.41
organism_23,0.36
organism_24,0.32
organism_25,0.28
organism_26,0.25
organism_27,0.22
organism_28,0.19
organism_29,0.17
organism_30,0.15
organism_31,0.13
organism_32,0.11
organism_33,0.1
organism_34,0.09
organism_35,0.08
organism_36,0.07
organism_37,0.06
organism_38,0.05
organism_39,0.04
organism_40,0.04
organism_41,0.03
organism_42,0.03
organism_43,0.02
organism_44,0.02
organism_45,0.01
organism_46,0.01
organism_47,0.01
organism_48,0.01
organism_49,0.0
organism_50,0.0
organism_51,3.45
organism_52,2.87
organism_53,2.34
organism_54,1.98
organism_55,1.67
organism_56,1.43
organism_57,1.21
organism_58,1.05
organism_59,0.91
organism_60,0.78
organism_61,0.67
organism_62,0.58
organism_63,0.5
organism_64,0.43
organism_65,0.37
organism_66,0.32
organism_67,0.28
organism_68,0.24
organism_69,0.21
organism_70,0.18
organism_71,0.15
organism_72,0.13
organism_73,0.11
organism_74,0.09
organism_75,0.08
organism_76,0.07
organism_77,0.06
organism_78,0.05
organism_79,0.04
organism_80,0.03
organism_81,0.03
organism_82,0.02
organism_83,0.02
organism_84,0.01
organism_85,0.01
organism_86,0.01
organism_87,0.0
organism_88,0.0
organism_89,0.0
organism_90,0.0
organism_91,0.0
organism_92,0.0
organism_93,0.0
organism_94,0.0
organism_95,0.0
organism_96,0.0
organism_97,0.0
organism_98,0.0
organism_99,0.0
organism_100,0.0
