feature,abundance
organism_1,13.89
organism_2,9.67
organism_3,7.89
organism_4,6.23
organism_5,5.77
organism_6,5.39
organism_7,5.0
organism_8,4.77
organism_9,4.62
organism_10,4.25
organism_11,3.89
organism_12,3.54
organism_13,3.21
organism_14,2.95
organism_15,2.67
organism_16,2.43
organism_17,2.18
organism_18,1.97
organism_19,1.78
organism_20,1.61
organism_21,1.45
organism_22,1.31
organism_23,1.18
organism_24,1.06
organism_25,0.95
organism_26,0.85
organism_27,0.76
organism_28,0.68
organism_29,0.61
organism_30,0.55
organism_31,0.49
organism_32,0.44
organism_33,0.39
organism_34,0.35
organism_35,0.31
organism_36,0.28
organism_37,0.25
organism_38,0.22
organism_39,0.19
organism_40,0.17
organism_41,0.15
organism_42,0.13
organism_43,0.12
organism_44,0.1
organism_45,0.09
organism_46,0.08
organism_47,0.07
organism_48,0.06
organism_49,0.05
organism_50,0.04
organism_51,2.34
organism_52,1.98
organism_53,1.67
organism_54,1.41
organism_55,1.19
organism_56,1.0
organism_57,0.85
organism_58,0.72
organism_59,0.61
organism_60,0.51
organism_61,0.43
organism_62,0.37
organism_63,0.31
organism_64,0.26
organism_65,0.22
organism_66,0.19
organism_67,0.16
organism_68,0.13
organism_69,0.11
organism_70,0.09
organism_71,0.08
organism_72,0.07
organism_73,0.06
organism_74,0.05
organism_75,0.04
organism_76,0.03
organism_77,0.03
organism_78,0.02
organism_79,0.02
organism_80,0.01
organism_81,0.01
organism_82,0.01
organism_83,0.01
organism_84,0.0
organism_85,0.0
organism_86,0.0
organism_87,0.0
organism_88,0.0
organism_89,0.0
organism_90,0.0
organism_91,0.0
organism_92,0.0
organism_93,0.0
organism_94,0.0
organism_95,0.0
organism_96,0.0
organism_97,0.0
organism_98,0.0
organism_99,0.0
organism_100,0.0
